311
3
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3
0	1	0.25	834	667.38	1334.76
0	220	1.25	5362	4290.30	8580.6
1	0	0.25	834	667.38	1334.76
1	2	1.8	6006	4805.14	9610.272
1	17	3	10010	8008.56	16017.12
2	1	1.8	6006	4805.14	9610.272
2	3	2.7	9009	7207.70	14415.408
3	2	2.7	9009	7207.70	14415.408
3	4	6.65	22190	17752.31	35504.616
4	3	6.65	22190	17752.31	35504.616
4	5	2.25	7508	6006.42	12012.84
4	219	4.75	20378	16303.14	32606.28
5	4	2.25	7508	6006.42	12012.84
5	6	4.85	16183	12947.17	25894.344
6	5	4.85	16183	12947.17	25894.344
6	7	1.05	4504	3603.85	7207.704
6	18	8.6	36896	29517.26	59034.528
7	6	1.05	4504	3603.85	7207.704
7	8	2.2	9438	7550.93	15101.856
7	185	1	4290	3432.24	6864.48
8	7	2.2	9438	7550.93	15101.856
8	9	6.8	29174	23339.23	46678.464
9	8	6.8	29174	23339.23	46678.464
9	10	14	60064	48051.36	96102.72
9	186	2	8580	6864.48	13728.96
10	9	14	60064	48051.36	96102.72
10	11	6.8	29174	23339.23	46678.464
10	187	1	4290	3432.24	6864.48
11	10	6.8	29174	23339.23	46678.464
11	12	10.2	43761	35008.85	70017.696
12	11	10.2	43761	35008.85	70017.696
12	13	9.7	41615	33292.73	66585.456
12	188	4	17161	13728.96	27457.92
12	226	22	94386	75509.28	151018.56
13	12	9.7	41615	33292.73	66585.456
13	14	5.3	11479	9183.20	18366.408
14	13	5.3	11479	9183.20	18366.408
14	15	5	10829	8663.40	17326.8
14	31	30	64975	51980.40	103960.8
15	14	5	10829	8663.40	17326.8
15	16	17.8	29984	23987.99	47975.984
15	262	19	41151	32920.92	65841.84
16	15	17.8	29984	23987.99	47975.984
16	257	3	6497	5198.04	10396.08
17	1	3	10010	8008.56	16017.12
17	223	4.75	15850	12680.22	25360.44
18	6	8.6	36896	29517.26	59034.528
18	222	5.1	21880	17504.42	35008.848
19	20	1.8	6006	4805.14	9610.272
19	223	2.45	8175	6540.32	13080.648
20	19	1.8	6006	4805.14	9610.272
20	21	1.2	5148	4118.69	8237.376
20	37	4.3	14348	11478.94	22957.872
21	20	1.2	5148	4118.69	8237.376
21	22	0.7	3003	2402.57	4805.136
22	21	0.7	3003	2402.57	4805.136
22	23	3.1	13299	10639.94	21279.888
23	22	3.1	13299	10639.94	21279.888
23	24	0.6	2574	2059.34	4118.688
24	23	0.6	2574	2059.34	4118.688
24	25	2.1	9009	7207.70	14415.408
24	224	6.8	29174	23339.23	46678.464
25	24	2.1	9009	7207.70	14415.408
25	26	3.15	13514	10811.56	21623.112
26	25	3.15	13514	10811.56	21623.112
26	27	4.85	16183	12947.17	25894.344
27	26	4.85	16183	12947.17	25894.344
27	28	10	42903	34322.40	68644.8
28	27	10	42903	34322.40	68644.8
28	29	7	15160	12128.76	24257.52
28	46	14.9	32271	25816.93	51633.864
28	253	6.2	26599	21279.89	42559.776
29	28	7	15160	12128.76	24257.52
29	30	18.5	40068	32054.58	64109.16
29	47	19.2	41584	33267.46	66534.912
30	29	18.5	40068	32054.58	64109.16
30	31	8.7	18842	15074.32	30148.632
30	227	22	47648	38118.96	76237.92
30	268	6.5	14078	11262.42	22524.84
31	14	30	64975	51980.40	103960.8
31	30	8.7	18842	15074.32	30148.632
31	32	12.7	27506	22005.04	44010.072
31	261	21	45482	36386.28	72772.56
32	31	12.7	27506	22005.04	44010.072
32	33	6.4	13861	11089.15	22178.304
32	261	24	51980	41584.32	83168.64
32	264	12	20214	16171.68	32343.36
32	267	17.3	37469	29975.36	59950.728
32	272	12.6	27289	21831.77	43663.536
33	32	6.4	13861	11089.15	22178.304
