311
3
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3
0	1	3.59712	834	667.38	1334.76
0	220	0.559493	5362	4290.30	8580.6
1	0	3.59712	834	667.38	1334.76
1	2	0.4995	6006	4805.14	9610.272
1	17	0.2997	10010	8008.56	16017.12
2	1	0.4995	6006	4805.14	9610.272
2	3	0.333	9009	7207.70	14415.408
3	2	0.333	9009	7207.70	14415.408
3	4	0.135196	22190	17752.31	35504.616
4	3	0.135196	22190	17752.31	35504.616
4	5	0.399574	7508	6006.42	12012.84
4	219	0.147218	20378	16303.14	32606.28
5	4	0.399574	7508	6006.42	12012.84
5	6	0.18538	16183	12947.17	25894.344
6	5	0.18538	16183	12947.17	25894.344
6	7	0.666075	4504	3603.85	7207.704
6	18	0.0813096	36896	29517.26	59034.528
7	6	0.666075	4504	3603.85	7207.704
7	8	0.317864	9438	7550.93	15101.856
7	185	0.699301	4290	3432.24	6864.48
8	7	0.317864	9438	7550.93	15101.856
8	9	0.102831	29174	23339.23	46678.464
9	8	0.102831	29174	23339.23	46678.464
9	10	0.0499467	60064	48051.36	96102.72
9	186	0.34965	8580	6864.48	13728.96
10	9	0.0499467	60064	48051.36	96102.72
10	11	0.102831	29174	23339.23	46678.464
10	187	0.699301	4290	3432.24	6864.48
11	10	0.102831	29174	23339.23	46678.464
11	12	0.0685542	43761	35008.85	70017.696
12	11	0.0685542	43761	35008.85	70017.696
12	13	0.0720894	41615	33292.73	66585.456
12	188	0.174815	17161	13728.96	27457.92
12	226	0.0317844	94386	75509.28	151018.56
13	12	0.0720894	41615	33292.73	66585.456
13	14	0.261347	11479	9183.20	18366.408
14	13	0.261347	11479	9183.20	18366.408
14	15	0.277034	10829	8663.40	17326.8
14	31	0.0461716	64975	51980.40	103960.8
15	14	0.277034	10829	8663.40	17326.8
15	16	0.100053	29984	23987.99	47975.984
15	262	0.0729022	41151	32920.92	65841.84
16	15	0.100053	29984	23987.99	47975.984
16	257	0.461752	6497	5198.04	10396.08
17	1	0.2997	10010	8008.56	16017.12
17	223	0.189274	15850	12680.22	25360.44
18	6	0.0813096	36896	29517.26	59034.528
18	222	0.137112	21880	17504.42	35008.848
19	20	0.4995	6006	4805.14	9610.272
19	223	0.366972	8175	6540.32	13080.648
20	19	0.4995	6006	4805.14	9610.272
20	21	0.582751	5148	4118.69	8237.376
20	37	0.209088	14348	11478.94	22957.872
21	20	0.582751	5148	4118.69	8237.376
21	22	0.999001	3003	2402.57	4805.136
22	21	0.999001	3003	2402.57	4805.136
22	23	0.225581	13299	10639.94	21279.888
23	22	0.225581	13299	10639.94	21279.888
23	24	1.1655	2574	2059.34	4118.688
