311
4
Arcs	Cost	Risk_C1	Risk_C2	Risk_C3	Risk_C4
0	1	3.59712	834	667.38	1334.76	834
0	220	0.559493	5362	4290.30	8580.6	5362
1	0	3.59712	834	667.38	1334.76	834
1	2	0.4995	6006	4805.14	9610.272	6006
1	17	0.2997	10010	8008.56	16017.12	10010
2	1	0.4995	6006	4805.14	9610.272	6006
2	3	0.333	9009	7207.70	14415.408	9009
3	2	0.333	9009	7207.70	14415.408	9009
3	4	0.135196	22190	17752.31	35504.616	22190
4	3	0.135196	22190	17752.31	35504.616	22190
4	5	0.399574	7508	6006.42	12012.84	7508
4	219	0.147218	20378	16303.14	32606.28	20378
5	4	0.399574	7508	6006.42	12012.84	7508
5	6	0.18538	16183	12947.17	25894.344	16183
6	5	0.18538	16183	12947.17	25894.344	16183
6	7	0.666075	4504	3603.85	7207.704	4504
6	18	0.0813096	36896	29517.26	59034.528	36896
7	6	0.666075	4504	3603.85	7207.704	4504
7	8	0.317864	9438	7550.93	15101.856	9438
7	185	0.699301	4290	3432.24	6864.48	4290
8	7	0.317864	9438	7550.93	15101.856	9438
8	9	0.102831	29174	23339.23	46678.464	29174
9	8	0.102831	29174	23339.23	46678.464	29174
9	10	0.0499467	60064	48051.36	96102.72	60064
9	186	0.34965	8580	6864.48	13728.96	8580
10	9	0.0499467	60064	48051.36	96102.72	60064
10	11	0.102831	29174	23339.23	46678.464	29174
10	187	0.699301	4290	3432.24	6864.48	4290
11	10	0.102831	29174	23339.23	46678.464	29174
11	12	0.0685542	43761	35008.85	70017.696	43761
12	11	0.0685542	43761	35008.85	70017.696	43761
12	13	0.0720894	41615	33292.73	66585.456	41615
12	188	0.174815	17161	13728.96	27457.92	17161
12	226	0.0317844	94386	75509.28	151018.56	94386
13	12	0.0720894	41615	33292.73	66585.456	41615
13	14	0.261347	11479	9183.20	18366.408	11479
14	13	0.261347	11479	9183.20	18366.408	11479
14	15	0.277034	10829	8663.40	17326.8	10829
14	31	0.0461716	64975	51980.40	103960.8	64975
15	14	0.277034	10829	8663.40	17326.8	10829
15	16	0.100053	29984	23987.99	47975.984	29984
15	262	0.0729022	41151	32920.92	65841.84	41151
16	15	0.100053	29984	23987.99	47975.984	29984
16	257	0.461752	6497	5198.04	10396.08	6497
17	1	0.2997	10010	8008.56	16017.12	10010
17	223	0.189274	15850	12680.22	25360.44	15850
18	6	0.0813096	36896	29517.26	59034.528	36896
18	222	0.137112	21880	17504.42	35008.848	21880
19	20	0.4995	6006	4805.14	9610.272	6006
19	223	0.366972	8175	6540.32	13080.648	8175
20	19	0.4995	6006	4805.14	9610.272	6006
20	21	0.582751	5148	4118.69	8237.376	5148
20	37	0.209088	14348	11478.94	22957.872	14348
21	20	0.582751	5148	4118.69	8237.376	5148
21	22	0.999001	3003	2402.57	4805.136	3003
22	21	0.999001	3003	2402.57	4805.136	3003
22	23	0.225581	13299	10639.94	21279.888	13299
23	22	0.225581	13299	10639.94	21279.888	13299
23	24	1.1655	2574	2059.34	4118.688	2574
24	23	1.1655	2574	2059.34	4118.688	2574
24	25	0.333	9009	7207.70	14415.408	9009
24	224	0.102831	29174	23339.23	46678.464	29174
25	24	0.333	9009	7207.70	14415.408	9009
25	26	0.221992	13514	10811.56	21623.112	13514
26	25	0.221992	13514	10811.56	21623.112	13514
26	27	0.18538	16183	12947.17	25894.344	16183
27	26	0.18538	16183	12947.17	25894.344	16183
27	28	0.0699252	42903	34322.40	68644.8	42903
28	27	0.0699252	42903	34322.40	68644.8	42903
28	29	0.197889	15160	12128.76	24257.52	15160
28	46	0.0929627	32271	25816.93	51633.864	32271
28	253	0.112786	26599	21279.89	42559.776	26599
29	28	0.197889	15160	12128.76	24257.52	15160
29	30	0.0748727	40068	32054.58	64109.16	40068
29	47	0.0721431	41584	33267.46	66534.912	41584
30	29	0.0748727	40068	32054.58	64109.16	40068
30	31	0.159219	18842	15074.32	30148.632	18842
30	227	0.0629617	47648	38118.96	76237.92	47648
30	268	0.213098	14078	11262.42	22524.84	14078
31	14	0.0461716	64975	51980.40	103960.8	64975
31	30	0.159219	18842	15074.32	30148.632	18842
31	32	0.109067	27506	22005.04	44010.072	27506
31	261	0.0659602	45482	36386.28	72772.56	45482
32	31	0.109067	27506	22005.04	44010.072	27506
32	33	0.216435	13861	11089.15	22178.304	13861
32	261	0.0577145	51980	41584.32	83168.64	51980
32	264	0.148412	20214	16171.68	32343.36	20214
32	267	0.0800662	37469	29975.36	59950.728	37469
