NbNodes := 5;

Arcs := (1,2) (2,3) (3,4) (4,5) (1,5) (1,3) (2,4) (3,5);

nbCom := 2;

Com	source	dest	demand	cap :=
1       1       4    	4000   	35
2       2       5    	5500   	45;

NbReg := 2;

Arc		Com	Reg	Risk := 

1 	2 	1 	1 	6
2 	3 	1 	1 	7
3 	4 	1 	1 	4
4 	5 	1 	1 	7
1 	5 	1 	1 	8
1 	3 	1 	1 	6
2 	4 	1 	1 	5
3 	5 	1 	1 	3

1 	2 	1 	2 	5
2 	3 	1 	2 	6
3 	4 	1 	2 	7
4 	5 	1 	2 	4
1 	5 	1 	2 	6
1 	3	1 	2 	8
2 	4 	1 	2 	5
3 	5 	1 	2 	3

1 	2 	2 	1 	5
2 	3	2 	1 	6
3 	4 	2 	1 	8
4 	5 	2 	1 	5
1 	5 	2 	1 	7
1 	3 	2 	1 	8
2 	4	2 	1 	5
3 	5 	2 	1 	3

1 	2 	2 	2 	5
2 	3 	2	2 	6
3 	4 	2 	2 	8
4 	5 	2 	2 	5
1 	5 	2 	2 	3
1 	3 	2 	2 	6
2 	4 	2 	2 	5
3 	5 	2 	2 	3;
