311
2
Arcs	Cost	Risk_C1	Risk_C2
0	1	3.59712	834	667.38
0	220	0.559493	5362	4290.30
1	0	3.59712	834	667.38
1	2	0.4995	6006	4805.14
1	17	0.2997	10010	8008.56
2	1	0.4995	6006	4805.14
2	3	0.333	9009	7207.70
3	2	0.333	9009	7207.70
3	4	0.135196	22190	17752.31
4	3	0.135196	22190	17752.31
4	5	0.399574	7508	6006.42
4	219	0.147218	20378	16303.14
5	4	0.399574	7508	6006.42
5	6	0.18538	16183	12947.17
6	5	0.18538	16183	12947.17
6	7	0.666075	4504	3603.85
6	18	0.0813096	36896	29517.26
7	6	0.666075	4504	3603.85
7	8	0.317864	9438	7550.93
7	185	0.699301	4290	3432.24
8	7	0.317864	9438	7550.93
8	9	0.102831	29174	23339.23
9	8	0.102831	29174	23339.23
9	10	0.0499467	60064	48051.36
9	186	0.34965	8580	6864.48
10	9	0.0499467	60064	48051.36
10	11	0.102831	29174	23339.23
10	187	0.699301	4290	3432.24
11	10	0.102831	29174	23339.23
11	12	0.0685542	43761	35008.85
12	11	0.0685542	43761	35008.85
12	13	0.0720894	41615	33292.73
12	188	0.174815	17161	13728.96
12	226	0.0317844	94386	75509.28
13	12	0.0720894	41615	33292.73
13	14	0.261347	11479	9183.20
14	13	0.261347	11479	9183.20
14	15	0.277034	10829	8663.40
14	31	0.0461716	64975	51980.40
15	14	0.277034	10829	8663.40
15	16	0.100053	29984	23987.99
15	262	0.0729022	41151	32920.92
16	15	0.100053	29984	23987.99
16	257	0.461752	6497	5198.04
17	1	0.2997	10010	8008.56
17	223	0.189274	15850	12680.22
18	6	0.0813096	36896	29517.26
18	222	0.137112	21880	17504.42
19	20	0.4995	6006	4805.14
19	223	0.366972	8175	6540.32
20	19	0.4995	6006	4805.14
20	21	0.582751	5148	4118.69
20	37	0.209088	14348	11478.94
21	20	0.582751	5148	4118.69
21	22	0.999001	3003	2402.57
22	21	0.999001	3003	2402.57
22	23	0.225581	13299	10639.94
23	22	0.225581	13299	10639.94
23	24	1.1655	2574	2059.34
24	23	1.1655	2574	2059.34
24	25	0.333	9009	7207.70
24	224	0.102831	29174	23339.23
25	24	0.333	9009	7207.70
25	26	0.221992	13514	10811.56
26	25	0.221992	13514	10811.56
26	27	0.18538	16183	12947.17
27	26	0.18538	16183	12947.17
27	28	0.0699252	42903	34322.40
28	27	0.0699252	42903	34322.40
28	29	0.197889	15160	12128.76
28	46	0.0929627	32271	25816.93
28	253	0.112786	26599	21279.89
29	28	0.197889	15160	12128.76
29	30	0.0748727	40068	32054.58
29	47	0.0721431	41584	33267.46
30	29	0.0748727	40068	32054.58
30	31	0.159219	18842	15074.32
30	227	0.0629617	47648	38118.96
30	268	0.213098	14078	11262.42
31	14	0.0461716	64975	51980.40
31	30	0.159219	18842	15074.32
31	32	0.109067	27506	22005.04
31	261	0.0659602	45482	36386.28
32	31	0.109067	27506	22005.04
32	33	0.216435	13861	11089.15
32	261	0.0577145	51980	41584.32
32	264	0.148412	20214	16171.68
32	267	0.0800662	37469	29975.36
32	272	0.109934	27289	21831.77
33	32	0.216435	13861	11089.15
33	34	0.138517	21658	17326.80
33	260	0.082944	36169	28935.76
34	33	0.138517	21658	17326.80
34	35	0.0923446	32487	25990.20
34	260	0.134481	22308	17846.60
34	270	0.115429	25990	20792.16
34	272	0.138517	21658	17326.80
35	34	0.0923446	32487	25990.20
35	36	0.203707	14727	11782.22
35	270	0.230858	12995	10396.08
35	310	0.147362	20358	16287.19
36	35	0.203707	14727	11782.22
36	259	0.087668	34220	27376.34
37	20	0.209088	14348	11478.94
37	38	0.513787	5839	4671.66
38	37	0.513787	5839	4671.66
38	39	2.997	1001	800.86
38	195	1.25892	2383	1906.80
39	38	2.997	1001	800.86
39	40	0.817439	3670	2936.47
40	39	0.817439	3670	2936.47
40	41	2.24888	1334	1067.81
41	40	2.24888	1334	1067.81
41	42	0.528914	5672	4538.18
41	225	0.368053	8151	6521.26
42	41	0.528914	5672	4538.18
42	43	0.155392	19306	15445.08
43	42	0.155392	19306	15445.08
43	44	0.0499467	60064	48051.36
44	43	0.0499467	60064	48051.36
44	45	0.139854	21451	17161.20
45	44	0.139854	21451	17161.20
45	46	0.0932343	32177	25741.80
45	231	0.0514156	58348	46678.46
46	28	0.0929627	32271	25816.93
46	45	0.0932343	32177	25741.80
46	47	0.129455	23174	18539.68
46	232	0.0366104	81944	65555.78
47	29	0.0721431	41584	33267.46
47	46	0.129455	23174	18539.68
47	48	0.175336	17110	13688.17
48	47	0.175336	17110	13688.17
48	49	0.0902201	33252	26602.34
48	266	0.3463	8663	6930.72
48	278	1.10092	2725	2180.52
49	48	0.0902201	33252	26602.34
49	56	0.091469	32798	26238.92
49	65	0.0467428	64181	51345.08
