120
1
Arcs	Cost	Risk_C1
0	1	4	7
0	2	3	20
0	3	7	16
0	4	20	9
0	5	15	4
0	6	14	18
0	7	3	20
0	8	7	16
0	9	17	12
0	10	17	12
0	11	17	12
0	12	9	6
0	13	17	12
0	14	7	12
0	15	7	12
0	16	17	12
0	17	3	14
0	18	7	13
0	19	7	13
0	20	7	12
0	21	9	6
0	22	9	6
0	23	10	17
0	24	17	9
0	25	5	7
0	26	10	16
0	27	9	5
0	28	9	5
0	29	9	5
0	30	17	9
0	31	9	5
0	32	9	5
0	33	20	18
0	34	11	2
0	35	11	2
0	36	11	2
0	37	2	9
0	38	13	7
0	39	13	7
0	40	17	13
0	41	20	18
0	42	9	1
0	43	20	18
0	44	1	14
0	45	13	7
0	46	1	14
0	47	9	1
0	48	9	1
0	49	9	5
0	50	9	5
0	51	2	9
0	52	2	9
0	53	5	7
0	54	2	9
0	55	1	14
0	56	2	9
0	57	2	9
0	58	11	2
0	59	9	5
0	60	13	7
0	61	1	14
0	62	7	20
0	63	9	5
0	64	2	9
0	65	2	9
0	66	2	9
0	67	13	7
0	68	17	9
0	69	2	9
0	70	13	7
0	71	17	9
0	72	2	9
0	73	17	9
0	74	11	2
0	75	2	9
0	76	2	9
0	77	5	7
0	78	13	7
0	79	13	7
0	80	11	2
0	81	17	9
0	82	17	9
0	83	17	9
0	84	2	9
0	85	2	12
0	86	17	9
0	87	13	7
0	88	2	12
0	89	9	1
0	90	2	9
0	91	2	9
0	92	13	7
0	93	2	9
0	94	2	9
0	95	7	20
0	96	9	5
0	97	9	5
0	98	2	12
0	99	13	7
0	100	2	12
0	101	11	2
0	102	1	14
0	103	2	12
0	104	9	5
0	105	5	3
0	107	20	4
0	108	16	16
0	109	19	4
0	110	16	14
0	111	16	16
0	112	1	17
0	113	12	8
0	114	16	20
0	115	1	17
0	118	13	10
1	9	1	3
1	10	1	3
1	11	17	16
1	12	10	17
1	13	1	3
1	14	1	5
1	15	13	1
1	16	1	3
1	17	12	18
1	18	17	4
1	19	19	10
1	20	13	15
1	21	10	17
1	22	10	17
1	23	14	1
1	24	11	2
1	25	9	1
1	26	7	20
1	27	7	20
1	28	7	20
1	29	7	20
1	30	7	12
1	31	7	20
1	32	7	20
1	33	5	7
1	34	13	7
1	35	19	20
1	36	13	7
1	37	11	7
1	38	2	12
1	39	2	12
1	40	10	16
1	41	4	8
1	42	17	9
1	43	15	19
1	45	2	12
1	47	17	9
1	48	17	9
1	53	4	18
1	55	17	20
1	57	7	20
1	58	7	20
1	59	7	20
1	60	8	5
1	61	7	20
1	62	2	9
1	63	7	20
1	64	7	20
1	67	2	12
1	68	11	2
1	70	2	12
1	71	14	11
1	72	11	8
1	73	11	2
1	74	5	1
1	76	10	15
1	77	13	9
1	78	17	16
1	79	12	19
1	80	13	7
1	81	11	2
1	82	11	2
1	83	11	2
1	85	12	14
1	86	11	2
1	87	2	12
1	88	9	5
1	89	17	9
1	92	18	7
1	94	20	9
1	95	2	9
1	97	20	18
1	98	20	18
1	99	2	12
1	100	9	5
1	101	20	18
1	103	20	18
1	104	20	18
1	105	5	4
1	107	16	8
1	108	8	9
1	109	3	6
1	110	4	1
1	113	6	4
1	114	16	17
1	117	2	10
2	9	4	11
2	10	4	11
2	11	14	1
2	12	13	1
2	13	13	1
2	14	1	5
2	15	13	1
2	16	4	11
2	17	12	18
2	18	3	20
2	19	18	12
2	20	6	8
2	21	11	12
2	22	5	17
2	23	14	1
2	24	6	11
2	25	17	9
2	26	1	14
2	30	7	12
2	33	9	1
2	34	2	12
2	35	19	20
2	36	2	12
2	37	11	7
2	38	9	5
2	39	9	5
2	40	1	14
2	41	4	8
2	42	11	2
2	43	15	19
2	45	9	5
2	47	11	2
2	48	11	2
2	53	4	18
2	55	17	20
2	58	13	15
2	60	8	5
2	67	9	5
2	68	13	7
2	70	9	5
2	71	14	11
2	72	11	8
2	73	13	7
2	74	5	1
2	76	10	15
2	77	13	9
2	78	17	16
2	79	12	19
2	80	2	12
2	81	13	7
2	82	13	7
2	83	13	7
2	85	12	14
2	86	13	7
2	87	9	5
2	89	11	2
2	92	18	7
2	94	20	9
2	98	9	5
2	99	9	5
2	101	13	7
2	103	9	5
2	105	5	4
2	107	20	8
2	108	8	9
2	109	11	16
2	110	4	1
2	113	11	16
2	114	16	17
2	117	2	10
3	9	5	6
3	10	5	6
3	11	5	6
3	12	5	6
3	13	5	6
3	14	1	5
3	15	13	1
3	16	5	6
3	17	7	17
3	18	5	6
3	19	5	6
3	20	5	6
3	21	5	6
3	22	5	6
3	23	14	1
3	24	18	5
3	25	11	2
3	30	7	12
3	33	17	9
3	34	9	5
3	35	13	7
3	36	9	5
3	37	11	7
3	41	4	8
3	42	18	5
3	43	9	17
3	44	9	17
3	45	9	17
3	46	9	17
3	47	18	5
3	48	18	5
3	49	9	17
3	50	9	17
3	53	9	17
3	55	9	17
3	60	8	5
3	68	2	12
3	70	9	17
3	71	14	11
3	72	11	8
3	73	2	12
3	74	13	7
3	76	10	15
3	78	17	16
3	79	2	12
3	80	9	5
3	81	2	12
3	82	2	12
3	83	2	12
3	85	12	14
3	86	2	12
3	89	18	5
3	92	18	5
3	94	20	9
3	99	13	10
3	101	13	10
3	105	5	4
3	107	9	17
3	108	8	9
3	109	9	17
3	110	4	1
3	113	16	14
3	114	16	17
3	118	9	17
4	9	1	5
4	10	1	5
4	11	9	6
4	12	1	5
4	13	9	6
4	14	1	5
4	15	13	1
4	16	1	5
4	17	17	13
4	18	1	4
4	19	1	4
4	20	10	17
4	21	1	5
4	22	1	5
4	23	14	1
4	24	9	16
4	25	17	13
4	26	17	13
4	27	17	9
4	28	17	9
4	29	17	9
4	30	7	12
4	31	17	9
4	32	17	9
4	33	11	2
4	35	2	12
4	37	11	7
4	41	4	8
4	43	5	7
4	47	13	7
4	55	17	20
4	60	8	5
4	68	9	5
4	71	14	11
4	72	11	8
4	73	9	5
4	74	2	12
4	76	10	15
4	78	17	16
4	79	9	5
4	81	9	5
4	82	9	1
4	83	9	5
4	85	12	14
4	86	9	5
4	87	9	1
4	89	13	7
4	92	2	12
4	94	20	9
4	101	2	12
4	105	5	4
4	107	17	7
4	108	8	9
4	109	7	2
4	110	4	1
4	113	14	9
4	114	16	17
4	117	2	10
5	9	1	7
5	10	1	7
5	11	7	12
5	12	1	7
5	13	1	7
5	14	1	5
5	15	13	1
5	16	1	7
5	17	15	4
5	18	18	7
5	19	19	20
5	20	16	15
5	21	6	20
5	22	6	20
5	23	14	1
5	24	5	18
5	25	5	18
5	30	7	12
5	33	14	9
5	34	14	9
5	35	14	9
5	36	14	9
5	37	11	7
5	38	14	9
5	39	14	9
5	41	4	8
5	42	5	18
5	47	2	12
5	48	5	18
5	55	17	20
5	60	8	5
5	71	14	11
5	72	11	8
5	74	9	5
5	76	10	15
5	78	17	16
5	82	9	5
5	85	12	14
5	89	2	12
5	92	5	18
5	94	20	9
5	101	9	5
5	105	5	4
5	107	1	11
5	108	8	9
5	109	19	4
5	110	4	1
5	113	17	7
5	114	16	17
5	117	2	10
6	9	4	12
6	10	4	12
6	11	1	5
6	12	4	12
6	13	4	12
6	14	1	5
6	15	13	1
6	16	4	12
6	17	12	18
6	18	17	4
6	19	19	10
6	20	13	15
6	21	7	13
6	22	7	13
6	23	14	1
6	24	13	7
6	30	7	12
6	33	13	7
6	35	19	20
6	37	11	7
6	41	4	8
6	43	15	19
6	44	10	16
6	45	10	16
6	46	10	16
6	47	9	5
6	53	4	18
6	55	17	20
6	60	8	5
6	68	1	14
6	70	10	16
6	71	14	11
6	72	11	8
6	74	5	1
6	76	10	15
6	77	13	9
6	78	17	16
6	79	12	19
6	85	12	14
6	89	9	5
6	92	18	7
6	94	20	9
6	97	10	16
6	98	10	16
6	100	10	16
6	102	10	16
6	103	10	16
6	104	10	16
6	105	5	4
6	107	16	16
6	108	8	9
6	109	10	3
6	110	4	1
6	113	6	1
6	114	16	17
6	117	2	10
7	9	17	18
7	10	17	18
7	11	17	18
7	12	17	18
7	13	17	18
7	14	1	5
7	15	13	1
7	16	17	18
7	17	12	18
7	18	3	20
7	19	18	12
7	20	6	8
7	21	11	12
7	22	5	17
7	23	14	1
7	24	6	11
7	30	7	12
7	33	2	12
7	35	19	20
7	37	11	7
7	41	4	8
7	43	15	19
7	53	4	18
7	55	17	20
7	58	13	15
7	60	8	5
7	71	14	11
7	72	11	8
7	74	5	1
7	76	10	15
7	77	13	9
7	78	17	16
7	79	12	19
7	85	12	14
7	92	18	7
7	94	20	9
7	105	5	4
7	107	2	5
7	108	8	9
7	109	4	15
7	110	4	1
7	114	16	17
7	117	2	10
8	9	16	15
8	10	16	15
8	11	8	20
8	12	12	14
8	13	16	15
8	14	1	5
8	15	13	1
8	16	16	15
8	17	7	17
8	18	11	8
