311
2
Arcs	Cost	Risk_C1	Risk_C2
0	1	0.25	834.23	667.38
0	220	1.25	5362.88	4290.30
1	0	0.25	834.23	667.38
1	2	1.8	6006.42	4805.14
1	17	3	10010.70	8008.56
2	1	1.8	6006.42	4805.14
2	3	2.7	9009.63	7207.70
3	2	2.7	9009.63	7207.70
3	4	6.65	22190.39	17752.31
4	3	6.65	22190.39	17752.31
4	5	2.25	7508.03	6006.42
4	219	4.75	20378.93	16303.14
5	4	2.25	7508.03	6006.42
5	6	4.85	16183.97	12947.17
6	5	4.85	16183.97	12947.17
6	7	1.05	4504.82	3603.85
6	18	8.6	36896.58	29517.26
7	6	1.05	4504.82	3603.85
7	8	2.2	9438.66	7550.93
7	185	1	4290.30	3432.24
8	7	2.2	9438.66	7550.93
8	9	6.8	29174.04	23339.23
9	8	6.8	29174.04	23339.23
9	10	14	60064.20	48051.36
9	186	2	8580.60	6864.48
10	9	14	60064.20	48051.36
10	11	6.8	29174.04	23339.23
10	187	1	4290.30	3432.24
11	10	6.8	29174.04	23339.23
11	12	10.2	43761.06	35008.85
12	11	10.2	43761.06	35008.85
12	13	9.7	41615.91	33292.73
12	188	4	17161.20	13728.96
12	226	22	94386.60	75509.28
13	12	9.7	41615.91	33292.73
13	14	5.3	11479.01	9183.20
14	13	5.3	11479.01	9183.20
14	15	5	10829.25	8663.40
14	31	30	64975.50	51980.40
15	14	5	10829.25	8663.40
15	16	17.8	29984.99	23987.99
15	262	19	41151.15	32920.92
16	15	17.8	29984.99	23987.99
16	257	3	6497.55	5198.04
17	1	3	10010.70	8008.56
17	223	4.75	15850.28	12680.22
18	6	8.6	36896.58	29517.26
18	222	5.1	21880.53	17504.42
19	20	1.8	6006.42	4805.14
19	223	2.45	8175.41	6540.32
20	19	1.8	6006.42	4805.14
20	21	1.2	5148.36	4118.69
20	37	4.3	14348.67	11478.94
21	20	1.2	5148.36	4118.69
21	22	0.7	3003.21	2402.57
22	21	0.7	3003.21	2402.57
22	23	3.1	13299.93	10639.94
23	22	3.1	13299.93	10639.94
23	24	0.6	2574.18	2059.34
24	23	0.6	2574.18	2059.34
24	25	2.1	9009.63	7207.70
24	224	6.8	29174.04	23339.23
25	24	2.1	9009.63	7207.70
25	26	3.15	13514.45	10811.56
26	25	3.15	13514.45	10811.56
26	27	4.85	16183.97	12947.17
27	26	4.85	16183.97	12947.17
27	28	10	42903.00	34322.40
28	27	10	42903.00	34322.40
28	29	7	15160.95	12128.76
28	46	14.9	32271.17	25816.93
28	253	6.2	26599.86	21279.89
29	28	7	15160.95	12128.76
29	30	18.5	40068.23	32054.58
29	47	19.2	41584.32	33267.46
30	29	18.5	40068.23	32054.58
30	31	8.7	18842.90	15074.32
30	227	22	47648.70	38118.96
30	268	6.5	14078.03	11262.42
31	14	30	64975.50	51980.40
31	30	8.7	18842.90	15074.32
31	32	12.7	27506.30	22005.04
31	261	21	45482.85	36386.28
32	31	12.7	27506.30	22005.04
32	33	6.4	13861.44	11089.15
32	261	24	51980.40	41584.32
32	264	12	20214.60	16171.68
32	267	17.3	37469.21	29975.36
32	272	12.6	27289.71	21831.77
33	32	6.4	13861.44	11089.15
33	34	10	21658.50	17326.80
33	260	16.7	36169.70	28935.76
34	33	10	21658.50	17326.80
34	35	15	32487.75	25990.20
34	260	10.3	22308.26	17846.60
34	270	12	25990.20	20792.16
34	272	10	21658.50	17326.80
35	34	15	32487.75	25990.20
35	36	6.8	14727.78	11782.22
35	270	6	12995.10	10396.08
35	310	9.4	20358.99	16287.19
36	35	6.8	14727.78	11782.22
36	259	15.8	34220.43	27376.34
37	20	4.3	14348.67	11478.94
37	38	1.75	5839.58	4671.66
38	37	1.75	5839.58	4671.66
38	39	0.3	1001.07	800.86
38	195	1.25	2383.50	1906.80
39	38	0.3	1001.07	800.86
39	40	1.1	3670.59	2936.47
40	39	1.1	3670.59	2936.47
40	41	0.4	1334.76	1067.81
41	40	0.4	1334.76	1067.81
41	42	1.7	5672.73	4538.18
41	225	1.9	8151.57	6521.26
42	41	1.7	5672.73	4538.18
42	43	4.5	19306.35	15445.08
43	42	4.5	19306.35	15445.08
43	44	14	60064.20	48051.36
44	43	14	60064.20	48051.36
44	45	5	21451.50	17161.20
45	44	5	21451.50	17161.20
45	46	7.5	32177.25	25741.80
45	231	13.6	58348.08	46678.46
46	28	14.9	32271.17	25816.93
46	45	7.5	32177.25	25741.80
46	47	10.7	23174.60	18539.68
46	232	19.1	81944.73	65555.78
47	29	19.2	41584.32	33267.46
47	46	10.7	23174.60	18539.68
47	48	7.9	17110.22	13688.17
48	47	7.9	17110.22	13688.17
48	49	36.6	33252.93	26602.34
48	266	4	8663.40	6930.72
48	278	3	2725.65	2180.52
49	48	36.6	33252.93	26602.34
49	56	36.1	32798.66	26238.92
49	65	38.1	64181.36	51345.08
49	275	20.1	18261.86	14609.48
50	195	1	1906.80	1525.44
50	196	0.5	953.40	762.72
51	61	1.5	5005.35	4004.28
51	68	5.35	22953.11	18362.48
52	53	8.4	36038.52	28830.82
52	71	5.5	23596.65	18877.32
53	52	8.4	36038.52	28830.82
53	54	5.5	4997.03	3997.62
53	62	5.8	19354.02	15483.22
53	285	12.6	11447.73	9158.18
54	53	5.5	4997.03	3997.62
54	55	15.5	14082.53	11266.02
54	233	18.1	16444.76	13155.80
54	277	35	31799.25	25439.40
55	54	15.5	14082.53	11266.02
55	56	21.2	19261.26	15409.01
55	277	19.3	17535.02	14028.01
55	281	20	18171.00	14536.80
56	49	36.1	32798.66	26238.92
56	55	21.2	19261.26	15409.01
56	57	9.5	8631.23	6904.98
56	275	34.1	30981.56	24785.24
56	279	40	36342.00	29073.60
56	281	35	31799.25	25439.40
56	282	34	30890.70	24712.56
57	56	9.5	8631.23	6904.98
57	58	14.5	13173.98	10539.18
57	279	32	29073.60	23258.88
58	57	14.5	13173.98	10539.18
58	59	44.4	40339.62	32271.70
58	309	35.6	32344.38	25875.50
59	58	44.4	40339.62	32271.70
59	309	64.4	58510.62	46808.50
60	61	4.5	15016.05	12012.84
60	196	0.85	1620.78	1296.62
61	51	1.5	5005.35	4004.28
61	60	4.5	15016.05	12012.84
61	62	13.7	45715.53	36572.42
62	53	5.8	19354.02	15483.22
62	61	13.7	45715.53	36572.42
62	63	4	13347.60	10678.08
62	231	1	4290.30	3432.24
63	62	4	13347.60	10678.08
63	64	28.7	20280.86	16224.68
63	86	32.4	61780.32	49424.26
64	63	28.7	20280.86	16224.68
64	65	9.7	16340.14	13072.11
64	278	2	4331.70	3465.36
65	49	38.1	64181.36	51345.08
65	64	9.7	16340.14	13072.11
65	66	11.8	19877.69	15902.15
65	265	2	4331.70	3465.36
66	65	11.8	19877.69	15902.15
66	67	28.1	47335.86	37868.68
66	263	1	2165.85	1732.68
67	66	28.1	47335.86	37868.68
67	308	2	4331.70	3465.36
68	51	5.35	22953.11	18362.48
68	194	1.75	7508.03	6006.42
69	70	2.65	11369.30	9095.44
69	194	4.15	17804.75	14243.80
69	197	1.3	5577.39	4461.91
70	69	2.65	11369.30	9095.44
70	252	15	64354.50	51483.60
71	52	5.5	23596.65	18877.32
71	252	7.5	32177.25	25741.80
72	73	1.7	7293.51	5834.81
72	85	1.65	3146.22	2516.98
72	197	1.9	8151.57	6521.26
73	72	1.7	7293.51	5834.81
73	234	12.3	52770.69	42216.55
74	75	4	17161.20	13728.96
74	234	5.2	22309.56	17847.65
75	74	4	17161.20	13728.96
75	76	6	25741.80	20593.44
75	87	4.8	20593.44	16474.75
76	75	6	25741.80	20593.44
76	77	8.2	35180.46	28144.37
76	237	6	25741.80	20593.44
77	76	8.2	35180.46	28144.37
77	78	8.2	35180.46	28144.37
77	236	16.7	71648.01	57318.41
78	77	8.2	35180.46	28144.37
78	79	3	12870.90	10296.72
79	78	3	12870.90	10296.72
79	80	11.8	50625.54	40500.43
79	89	1	4290.30	3432.24
79	238	8.2	35180.46	28144.37
80	79	11.8	50625.54	40500.43
80	81	5	21451.50	17161.20
80	239	18.5	79370.55	63496.44
81	80	5	21451.50	17161.20
81	82	7.2	30890.16	24712.13
82	81	7.2	30890.16	24712.13
82	83	16.2	69502.86	55602.29
82	90	2.7	11583.81	9267.05
83	82	16.2	69502.86	55602.29
83	84	32.2	138147.66	110518.13
83	91	1	4290.30	3432.24
84	83	32.2	138147.66	110518.13
84	93	4	17161.20	13728.96
84	290	60.9	145904.22	116723.38
84	295	58.5	250982.55	200786.04
85	72	1.65	3146.22	2516.98
85	96	1.3	2478.84	1983.07
86	63	32.4	61780.32	49424.26
86	87	2	6673.80	5339.04
86	126	13.5	25741.80	20593.44
87	75	4.8	20593.44	16474.75
87	86	2	6673.80	5339.04
87	88	11.9	39709.11	31767.29
87	97	3.15	13514.45	10811.56
87	200	2.5	10725.75	8580.60
88	87	11.9	39709.11	31767.29
88	89	9	30032.10	24025.68
88	237	1	4290.30	3432.24
89	79	1	4290.30	3432.24
89	88	9	30032.10	24025.68
89	90	17.5	58395.75	46716.60
89	277	20.3	18443.57	14754.85
90	82	2.7	11583.81	9267.05
90	89	17.5	58395.75	46716.60
90	91	10.4	34703.76	27763.01
90	280	13	11811.15	9448.92
91	83	1	4290.30	3432.24
91	90	10.4	34703.76	27763.01
91	92	11.2	37373.28	29898.62
92	91	11.2	37373.28	29898.62
92	93	15.3	51054.57	40843.66
92	94	3	2119.95	1695.96
93	84	4	17161.20	13728.96
93	92	15.3	51054.57	40843.66
94	92	3	2119.95	1695.96
94	95	25.2	17807.58	14246.06
94	276	5	4542.75	3634.20
95	94	25.2	17807.58	14246.06
95	309	2	1817.10	1453.68
96	85	1.3	2478.84	1983.07
96	98	1.85	3527.58	2822.06
97	87	3.15	13514.45	10811.56
97	99	3.75	16088.63	12870.90
98	96	1.85	3527.58	2822.06
98	201	0.4	762.72	610.18
99	97	3.75	16088.63	12870.90
99	100	10	42903.00	34322.40
99	199	2.65	11369.30	9095.44
100	99	10	42903.00	34322.40
100	101	8.3	35609.49	28487.59
101	100	8.3	35609.49	28487.59
101	102	5.8	24883.74	19906.99
101	242	8.2	35180.46	28144.37
102	101	5.8	24883.74	19906.99
102	103	7.6	32606.28	26085.02
102	112	7.5	32177.25	25741.80
102	241	15.1	64783.53	51826.82
103	102	7.6	32606.28	26085.02
103	104	15	35937.00	28749.60
103	240	5.5	23596.65	18877.32
104	103	15	35937.00	28749.60
104	105	19	45520.20	36416.16
104	296	14.5	34739.10	27791.28
105	104	19	45520.20	36416.16
105	106	10.5	25155.90	20124.72
105	295	12	28749.60	22999.68
105	296	15	35937.00	28749.60
106	105	10.5	25155.90	20124.72
106	107	6	14374.80	11499.84
106	295	18	43124.40	34499.52
107	106	6	14374.80	11499.84
107	115	14	33541.20	26832.96
108	122	1.4	4671.66	3737.33
108	201	2.9	9677.01	7741.61
109	110	1.6	6864.48	5491.58
109	198	3	12870.90	10296.72
109	199	0.45	1930.64	1544.51
110	109	1.6	6864.48	5491.58
110	111	9	38612.70	30890.16
111	110	9	38612.70	30890.16
111	112	12.4	53199.72	42559.78
111	125	2	8580.60	6864.48
111	242	2	8580.60	6864.48
112	102	7.5	32177.25	25741.80
112	111	12.4	53199.72	42559.78
112	113	9	38612.70	30890.16
112	127	1	4290.30	3432.24
113	112	9	38612.70	30890.16
113	114	12	28749.60	22999.68
113	128	1	4290.30	3432.24
113	244	8.5	36467.55	29174.04
113	303	41	274628.25	219702.60
114	113	12	28749.60	22999.68
114	115	22.5	53905.50	43124.40
114	129	1	4290.30	3432.24
114	296	2	4791.60	3833.28
115	107	14	33541.20	26832.96
115	114	22.5	53905.50	43124.40
115	116	23.5	56301.30	45041.04
115	130	4.2	10062.36	8049.89
115	290	29.5	70676.10	56540.88
116	115	23.5	56301.30	45041.04
116	117	6.5	15572.70	12458.16
116	131	1	2395.80	1916.64
117	116	6.5	15572.70	12458.16
117	118	9.2	22041.36	17633.09
117	291	7.4	17728.92	14183.14
118	117	9.2	22041.36	17633.09
118	119	3.8	9104.04	7283.23
118	288	3.2	7666.56	6133.25
119	118	3.8	9104.04	7283.23
119	120	17	40728.60	32582.88
119	132	2	4791.60	3833.28
120	119	17	40728.60	32582.88
120	121	9.8	23478.84	18783.07
120	133	5	11979.00	9583.20
120	289	17.2	41207.76	32966.21
121	120	9.8	23478.84	18783.07
121	134	2	4791.60	3833.28
122	108	1.4	4671.66	3737.33
122	123	3.4	11345.46	9076.37
122	202	0.6	1144.08	915.26
123	122	3.4	11345.46	9076.37
123	124	6.6	22023.54	17618.83
124	123	6.6	22023.54	17618.83
124	125	4.9	16350.81	13080.65
124	136	2.7	11583.81	9267.05
124	198	2	8580.60	6864.48
125	111	2	8580.60	6864.48
125	124	4.9	16350.81	13080.65
125	126	4.5	15016.05	12012.84
126	86	13.5	25741.80	20593.44
126	125	4.5	15016.05	12012.84
126	127	10	19068.00	15254.40
127	112	1	4290.30	3432.24
127	126	10	19068.00	15254.40
127	128	6	11440.80	9152.64
127	244	3	12870.90	10296.72
128	113	1	4290.30	3432.24
128	127	6	11440.80	9152.64
128	129	10.5	11180.40	8944.32
129	114	1	4290.30	3432.24
129	128	10.5	11180.40	8944.32
129	130	22.5	23958.00	19166.40
130	115	4.2	10062.36	8049.89
130	129	22.5	23958.00	19166.40
130	131	19.5	20763.60	16610.88
130	294	9.8	23478.84	18783.07
131	116	1	2395.80	1916.64
131	130	19.5	20763.60	16610.88
131	132	15	15972.00	12777.60
131	292	2.2	5270.76	4216.61
132	119	2	4791.60	3833.28
132	131	15	15972.00	12777.60
132	133	11.3	12032.24	9625.79
133	120	5	11979.00	9583.20
133	132	11.3	12032.24	9625.79
133	134	9	9583.20	7666.56
133	287	8	19166.40	15333.12
134	121	2	4791.60	3833.28
134	133	9	9583.20	7666.56
135	202	1.1	3670.59	2936.47
135	203	2	6673.80	5339.04
136	124	2.7	11583.81	9267.05
136	243	3	12870.90	10296.72
137	138	0.6	2002.14	1601.71
137	150	0.5	1668.45	1334.76
137	203	1.2	4004.28	3203.42
138	137	0.6	2002.14	1601.71
138	139	1.6	5339.04	4271.23
139	138	1.6	5339.04	4271.23
139	140	8	26695.20	21356.16
140	139	8	26695.20	21356.16
140	141	7.2	30890.16	24712.13
140	245	6	25741.80	20593.44
140	246	4	17161.20	13728.96
141	140	7.2	30890.16	24712.13
141	142	7.2	30890.16	24712.13
142	141	7.2	30890.16	24712.13
142	143	13.6	91096.20	72876.96
142	244	14.7	63067.41	50453.93
143	142	13.6	91096.20	72876.96
143	144	12	80379.00	64303.20
143	155	18	120568.50	96454.80
143	172	9.4	62963.55	50370.84
143	307	10	66982.50	53586.00
144	143	12	80379.00	64303.20
144	145	14.7	98464.28	78771.42
144	304	6	40189.50	32151.60
144	306	7.2	48227.40	38581.92
145	144	14.7	98464.28	78771.42
145	146	14.7	98464.28	78771.42
145	304	9.8	65642.85	52514.28
145	305	5.2	34830.90	27864.72
146	145	14.7	98464.28	78771.42
146	147	14.6	97794.45	78235.56
146	175	5	33491.25	26793.00
146	302	9.5	63633.38	50906.70
147	146	14.6	97794.45	78235.56
147	148	37	247835.25	198268.20
147	175	19	127266.75	101813.40
147	301	9.2	61623.90	49299.12
147	302	20.8	139323.60	111458.88
148	147	37	247835.25	198268.20
148	149	6.3	42198.98	33759.18
148	297	8.6	57604.95	46083.96
