311
2
Arcs	Cost	Risk_C1	Risk_C2
1	2	0,25	834,23	667,38
1	221	1,25	5362,88	4290,30
2	1	0,25	834,23	667,38
2	3	1,8	6006,42	4805,14
2	18	3	10010,70	8008,56
3	2	1,8	6006,42	4805,14
3	4	2,7	9009,63	7207,70
4	3	2,7	9009,63	7207,70
4	5	6,65	22190,39	17752,31
5	4	6,65	22190,39	17752,31
5	6	2,25	7508,03	6006,42
5	220	4,75	20378,93	16303,14
6	5	2,25	7508,03	6006,42
6	7	4,85	16183,97	12947,17
7	6	4,85	16183,97	12947,17
7	8	1,05	4504,82	3603,85
7	19	8,6	36896,58	29517,26
8	7	1,05	4504,82	3603,85
8	9	2,2	9438,66	7550,93
8	186	1	4290,30	3432,24
9	8	2,2	9438,66	7550,93
9	10	6,8	29174,04	23339,23
10	9	6,8	29174,04	23339,23
10	11	14	60064,20	48051,36
10	187	2	8580,60	6864,48
11	10	14	60064,20	48051,36
11	12	6,8	29174,04	23339,23
11	188	1	4290,30	3432,24
12	11	6,8	29174,04	23339,23
12	13	10,2	43761,06	35008,85
13	12	10,2	43761,06	35008,85
13	14	9,7	41615,91	33292,73
13	189	4	17161,20	13728,96
13	227	22	94386,60	75509,28
14	13	9,7	41615,91	33292,73
14	15	5,3	11479,01	9183,20
15	14	5,3	11479,01	9183,20
15	16	5	10829,25	8663,40
15	32	30	64975,50	51980,40
16	15	5	10829,25	8663,40
16	17	17,8	29984,99	23987,99
16	263	19	41151,15	32920,92
17	16	17,8	29984,99	23987,99
17	258	3	6497,55	5198,04
18	2	3	10010,70	8008,56
18	224	4,75	15850,28	12680,22
19	7	8,6	36896,58	29517,26
19	223	5,1	21880,53	17504,42
20	21	1,8	6006,42	4805,14
20	224	2,45	8175,41	6540,32
21	20	1,8	6006,42	4805,14
21	22	1,2	5148,36	4118,69
21	38	4,3	14348,67	11478,94
22	21	1,2	5148,36	4118,69
22	23	0,7	3003,21	2402,57
23	22	0,7	3003,21	2402,57
23	24	3,1	13299,93	10639,94
24	23	3,1	13299,93	10639,94
24	25	0,6	2574,18	2059,34
25	24	0,6	2574,18	2059,34
25	26	2,1	9009,63	7207,70
25	225	6,8	29174,04	23339,23
26	25	2,1	9009,63	7207,70
26	27	3,15	13514,45	10811,56
27	26	3,15	13514,45	10811,56
27	28	4,85	16183,97	12947,17
28	27	4,85	16183,97	12947,17
28	29	10	42903,00	34322,40
29	28	10	42903,00	34322,40
29	30	7	15160,95	12128,76
29	47	14,9	32271,17	25816,93
29	254	6,2	26599,86	21279,89
30	29	7	15160,95	12128,76
30	31	18,5	40068,23	32054,58
30	48	19,2	41584,32	33267,46
31	30	18,5	40068,23	32054,58
31	32	8,7	18842,90	15074,32
31	228	22	47648,70	38118,96
31	269	6,5	14078,03	11262,42
32	15	30	64975,50	51980,40
32	31	8,7	18842,90	15074,32
32	33	12,7	27506,30	22005,04
32	262	21	45482,85	36386,28
33	32	12,7	27506,30	22005,04
33	34	6,4	13861,44	11089,15
33	262	24	51980,40	41584,32
33	265	12	20214,60	16171,68
33	268	17,3	37469,21	29975,36
33	273	12,6	27289,71	21831,77
34	33	6,4	13861,44	11089,15
