311
2
Arcs	Cost	Risk_C1	Risk_C2
0	1	0.25	0.739285727	0.133038211
0	220	1.25	0.869923308	0.622464319
1	0	0.25	0.543119704	0.218804135
1	2	1.8	0.233503995	0.974707036
1	17	3	0.488082719	0.943051807
2	1	1.8	0.132065553	0.525438113
2	3	2.7	0.200876223	0.792300623
3	2	2.7	0.925526773	0.691000153
3	4	6.65	0.346711614	0.669171692
4	3	6.65	0.405212894	0.818372152
4	5	2.25	0.142103942	0.795255734
4	219	4.75	0.065083266	0.99026546
5	4	2.25	0.10691394	0.055402135
5	6	4.85	0.69838345	0.304297849
6	5	4.85	0.657978373	0.939719243
6	7	1.05	0.316986119	0.858777379
6	18	8.6	0.933097927	0.707926636
7	6	1.05	0.123698136	0.113839551
7	8	2.2	0.138046174	0.445866169
7	185	1	0.184232201	0.069310584
8	7	2.2	0.921270451	0.009249546
8	9	6.8	0.516287185	0.155731972
9	8	6.8	0.701389597	0.399427342
9	10	14	0.491229117	0.300730952
9	186	2	0.950692178	0.938285581
10	9	14	0.138049515	0.878216563
10	11	6.8	0.972436743	0.616608624
10	187	1	0.90926105	0.337153798
11	10	6.8	0.474829429	0.650304098
11	12	10.2	0.89051449	0.971062297
12	11	10.2	0.625548229	0.860649352
12	13	9.7	0.390575342	0.818406089
12	188	4	0.245557837	0.746721124
12	226	22	0.398680191	0.728518772
13	12	9.7	0.629649691	0.018854117
13	14	5.3	0.676391773	0.905051021
14	13	5.3	0.63316164	0.911556993
14	15	5	0.627951517	0.869814008
14	31	30	0.647146231	0.497586272
15	14	5	0.442367714	0.180164867
15	16	17.8	0.639574055	0.114354416
15	262	19	0.686265692	0.647928087
16	15	17.8	0.038820835	0.010068805
16	257	3	0.258255503	0.031666358
17	1	3	0.745191546	0.693747278
17	223	4.75	0.440448862	0.857459341
18	6	8.6	0.924896733	0.683035536
18	222	5.1	0.044819519	0.209544336
19	20	1.8	0.176405159	0.531953912
19	223	2.45	0.981245581	0.729818472
20	19	1.8	0.307837218	0.261004275
20	21	1.2	0.782557087	0.134341642
20	37	4.3	0.875248837	0.740329116
21	20	1.2	0.992632907	0.16454926
21	22	0.7	0.3147484	0.669646464
22	21	0.7	0.900118511	0.919513814
22	23	3.1	0.210139889	0.60591886
23	22	3.1	0.284385628	0.472079123
23	24	0.6	0.933130203	0.168334872
24	23	0.6	0.471615343	0.189212764
24	25	2.1	0.717388089	0.173901405
24	224	6.8	0.435258621	0.952304363
25	24	2.1	0.469735536	0.89507278
25	26	3.15	0.700379767	0.255365483
26	25	3.15	0.260458863	0.065819009
26	27	4.85	0.495694343	0.965565927
27	26	4.85	0.882495853	0.107870489
27	28	10	0.13228269	0.983283753
28	27	10	0.141691519	0.911209375
28	29	7	0.613888701	0.597879061
28	46	14.9	0.53555337	0.63591744
28	253	6.2	0.958205725	0.432649597
29	28	7	0.152021427	0.445367368
29	30	18.5	0.719091604	0.006415779
29	47	19.2	0.913730185	0.298531033
30	29	18.5	0.39797569	0.008928262
30	31	8.7	0.972251011	0.184287029
30	227	22	0.214348025	0.081353332
30	268	6.5	0.676712592	0.589425064
31	14	30	0.290877838	0.123968581
31	30	8.7	0.321416363	0.203635127
31	32	12.7	0.088896451	0.45270644
31	261	21	0.026668415	0.651778418
32	31	12.7	0.719533219	0.773259171
32	33	6.4	0.806752764	0.176278419
32	261	24	0.572924678	0.398354951
32	264	12	0.451963695	0.026922195
32	267	17.3	0.177655237	0.748300215
32	272	12.6	0.204257212	0.255737345
33	32	6.4	0.497853522	0.820930093
33	34	10	0.526748267	0.553059511
33	260	16.7	0.115226384	0.220867216
34	33	10	0.089200697	0.116527492
34	35	15	0.01215104	0.870466424
34	260	10.3	0.741945984	0.282077044
34	270	12	0.760628485	0.362015682
34	272	10	0.587931468	0.110150897
35	34	15	0.228976677	0.337867574
35	36	6.8	0.6081733	0.440375853
35	270	6	0.142103619	0.856369989
35	310	9.4	0.441567295	0.264833652
36	35	6.8	0.212574698	0.74312629
36	259	15.8	0.250074961	0.238563168
37	20	4.3	0.263836773	0.971769773
37	38	1.75	0.010596931	0.756806005
38	37	1.75	0.11385521	0.753926047
38	39	0.3	0.970713392	0.281020531
38	195	1.25	0.238123927	0.488400034
39	38	0.3	0.510305426	0.206912842
39	40	1.1	0.03385586	0.45589735
40	39	1.1	0.622928628	0.776217639
40	41	0.4	0.448283003	0.172588333
41	40	0.4	0.669461298	0.636915779
41	42	1.7	0.039876607	0.178765814
41	225	1.9	0.492843593	0.111501938
42	41	1.7	0.494879942	0.636944159
42	43	4.5	0.614925282	0.787119817
43	42	4.5	0.084326508	0.917980615
43	44	14	0.813118696	0.727263204
44	43	14	0.719400947	0.930700239
44	45	5	0.423014688	0.400091598
45	44	5	0.154923987	0.747338912
45	46	7.5	0.598182369	0.5761359
45	231	13.6	0.541797094	0.209646423
46	28	14.9	0.117996817	0.002406715
46	45	7.5	0.919535154	0.892569517
46	47	10.7	0.269541357	0.769225731
46	232	19.1	0.393859306	0.928876943
47	29	19.2	0.894316434	0.598138766
47	46	10.7	0.37273636	0.614013731
47	48	7.9	0.696100951	0.902787555
48	47	7.9	0.604589056	0.756806351
48	49	36.6	0.816417599	0.16900621
48	266	4	0.486469512	0.593443115
48	278	3	0.526109856	0.430293319
49	48	36.6	0.824661174	0.13220012
49	56	36.1	0.305566705	0.725660629
49	65	38.1	0.348913031	0.015122111
49	275	20.1	0.21942138	0.351154483
50	195	1	0.402619999	0.499426323
50	196	0.5	0.410375175	0.892461575
51	61	1.5	0.832166935	0.640382857
51	68	5.35	0.731140933	0.400149149
52	53	8.4	0.708070334	0.425813969
52	71	5.5	0.840968277	0.678014118
53	52	8.4	0.683208888	0.572222329
53	54	5.5	0.635639552	0.06048391
53	62	5.8	0.295812509	0.269922635
53	285	12.6	0.503894785	0.026395477
54	53	5.5	0.929467232	0.166272567
54	55	15.5	0.111907228	0.702689227
54	233	18.1	0.131835672	0.564757323
54	277	35	0.783764734	0.091671643
55	54	15.5	0.900402424	0.448955298
55	56	21.2	0.217945089	0.718526485
55	277	19.3	0.161444272	0.666251906
55	281	20	0.180706514	0.770760903
56	49	36.1	0.789492158	0.251762827
56	55	21.2	0.082711911	0.802661318
56	57	9.5	0.986888174	0.243934856
56	275	34.1	0.734777055	0.925436076
56	279	40	0.493975074	0.113739035
56	281	35	0.230440994	0.808389625
56	282	34	0.825627834	0.594908274
57	56	9.5	0.176176048	0.206300749
57	58	14.5	0.020128021	0.54453182
57	279	32	0.609602749	0.047678763
58	57	14.5	0.776645205	0.733116415
58	59	44.4	0.016100763	0.787587668
58	309	35.6	0.407166938	0.113732627
59	58	44.4	0.209391436	0.80331816
59	309	64.4	0.978938556	0.004600721
60	61	4.5	0.724827247	0.060976297
60	196	0.85	0.472083541	0.097882488
61	51	1.5	0.056497398	0.987088874
61	60	4.5	0.581622805	0.292485999
61	62	13.7	0.633808801	0.39300856
62	53	5.8	0.827147457	0.612946798
62	61	13.7	0.601176924	0.95662404
62	63	4	0.691303982	0.729118842
62	231	1	0.930420414	0.317727961
63	62	4	0.654641544	0.293852969
63	64	28.7	0.798418243	0.785637594
63	86	32.4	0.975481624	0.015090254
64	63	28.7	0.248898488	0.480489525
64	65	9.7	0.485382886	0.153239149
64	278	2	0.921971426	0.736693471
65	49	38.1	0.259087806	0.254677716
65	64	9.7	0.773951705	0.370659939
65	66	11.8	0.113719051	0.970600382
65	265	2	0.087823011	0.265505839
66	65	11.8	0.447161258	0.248419112
66	67	28.1	0.61520899	0.482845584
66	263	1	0.728183283	0.41372684
67	66	28.1	0.081613375	0.02738103
67	308	2	0.582100956	0.392845135
68	51	5.35	0.652590288	0.649712844
68	194	1.75	0.165709624	0.654377012
69	70	2.65	0.842654664	0.668083712
69	194	4.15	0.575494201	0.308070593
69	197	1.3	0.160932779	0.258279352
70	69	2.65	0.539421545	0.997338235
70	252	15	0.425914605	0.220747714
71	52	5.5	0.878409972	0.774148533
71	252	7.5	0.254036193	0.345254739
72	73	1.7	0.061364747	0.957412964
72	85	1.65	0.918905784	0.990437179
72	197	1.9	0.699494264	0.355758881
73	72	1.7	0.581179154	0.356430577
73	234	12.3	0.651467296	0.775575761
74	75	4	0.832937942	0.250615065
74	234	5.2	0.064370002	0.755340153
